kor,hanja
도헌,道憲
법계,法系
선종사,禪宗史
최치원,崔致遠
대숭복사비,大崇福寺碑
각자,刻字
혜강,慧江
신이,神異
왕토사상,王土思想
기진,寄進
사직,寺職
소도,蘇塗
고비,古碑
동관왕묘,東關王廟
인,人
인,人
당,幢
당간,幢竿
안상,眼象
기단,基壇
탑신,塔身
비,碑
안상,眼象
비,碑
비좌,碑座
탑신,塔身
기단,基壇
부신중상,八部神衆像
탑신,塔身
기단,基壇
선,禪
탑신,塔身
기단,基壇
사천왕상,四天王像
선,禪
인,人
인,人
인,人
팔,八
기단,基壇
탑신,塔身
기단,基壇
탑신,塔身
기단부,基壇部
탑신부,塔身部
철감선사,澈鑒禪師
탑비,塔碑
쌍봉산고철감선사비명,雙峯山故澈鑒禪師碑銘
전액,篆額
한주,漢州
당,唐
범일국사,梵日國師
철감,澈鑒
시호,諡號
징소,澄昭
화염보주,火焰寶珠
탑신,塔身
기단,基壇
선문,禪門
탑신,塔身
기단,基壇
대좌,臺座
광배,光背
액,額
정,貞
주,周
진,晉
하,何
함호,函號
요령,搖鈴
사,社
직,稷
인,人
팔,八
대웅전약사전개와중수기,大雄殿藥師殿改瓦重修記
팔,八
정,井
팔,八
인,人
형조좌랑,刑曹佐郞
영남산,映南山
팔,八
팔,八
해운정,海雲亭
기단,基壇
탑신,塔身
기단,基壇
탑신,塔身
사리구,舍利具
석축,石築
기단,基壇
탑신,塔身
대좌,臺座
원형,圓形
대현,大賢
기단,基壇
탑신,塔身
비천상,飛天像
천왕상,四天王像
천부상,天部像
면에보살상,菩薩像
전탑,塼塔
기단,基壇
탑신,塔身
지종,智宗
탑신,塔身
기단,基壇
구족달,仇足達
화사석,火舍石
석련지,石蓮池
삼존불,三尊佛
광배,光背
광배,光背
대좌,臺座
삼존불,三尊佛
배,舟
대좌,臺座
보고,寶庫
칠불암,七佛庵
삼면보관,三面寶冠
천의,天衣
대좌,臺座
광배,光背
비천상,飛天像
대좌,臺座
광배,光背
기단,基壇
불각,佛閣
광배,光背
대좌,臺座
불신,佛身
삼도,三道
사효,思孝
간경도감,刊經都監
교장,敎藏
경,經
론,論
삼장,三藏
론,論
안혜,安慧
현범,玄範
교장,敎藏
교장,敎藏
교장,敎藏
혜정,慧淨
공철,公哲
개현초,開玄褻
교장,敎藏
교장,敎藏
