id,title
508,창녕 관룡사 약사전
509,공주 중동 석조
510,공주 반죽동 석조
511,공주 반죽동 당간지주
512,구례 연곡사 삼층석탑
513,구례 연곡사 현각선사탑비
514,구례 연곡사 동 승탑비
515,구례 연곡사 소요대사탑
516,장흥 보림사 동 승탑
517,장흥 보림사 서 승탑
518,장흥 보림사 보조선사탑
519,장흥 보림사 보조선사탑비
520,함안 방어산 마애약사여래삼존입상
521,유성룡 종가 문적
522,강화 정수사 법당
523,청양 장곡사 상 대웅전
524,춘천 청평사 회전문
525,강릉 오죽헌
526,서울 홍제동 오층석탑
527,정읍 은선리 삼층석탑
528,경주 천군동 동·서 삼층석탑
529,문경 봉암사 삼층석탑
530,화순 쌍봉사 철감선사탑비
531,문경 봉암사 정진대사탑
532,문경 봉암사 정진대사탑비
533,울주 망해사지 승탑
534,청양 장곡사 철조비로자나불좌상 및 석
535,순천 송광사 경패
536,순천 송광사 금동요령
537,사직단 대문
538,강화 전등사 대웅전
539,강화 전등사 약사전
540,여주 신륵사 조사당
541,청양 장곡사 하 대웅전
542,안동 임청각
543,강릉 해운정
544,부여 장하리 삼층석탑
545,부여 무량사 오층석탑
546,경주 남산 용장사곡 삼층석탑
547,경주 남산 용장사곡 석조여래좌상
548,의성 관덕리 삼층석탑
549,칠곡 송림사 오층전탑
550,원주 거돈사지 원공국사탑
551,강릉 보현사 낭원대사탑
552,강릉 보현사 낭원대사탑비
553,청도 운문사 금당 앞 석등
554,부여 석조
555,금동정지원명석가여래삼존입상
556,청양 읍내리 석조여래삼존입상
557,경주 남산 불곡 마애여래좌상
558,경주 남산 신선암 마애보살반가상
559,경주 남산 탑곡 마애불상군
560,의성 관덕동 석사자
561,청도 박곡리 석조여래좌상
562,묘법연화경관세음보살보문품삼현원찬과문
563,대승아비달마잡집론소 권13~14
564,묘법연화경찬술 권1~2
565,금강반야경소개현초 권4~5
566,청도 운문사 동호
567,대전 회덕 동춘당
568,안동 도산서원 전교당
569,안동 도산서원 상덕사 및 삼문
570,창녕 관룡사 대웅전
571,강릉향교 대성전
572,서울 북한산 구기동 마애여래좌상
573,보은 법주사 마애여래의좌상
574,부여 대조사 석조미륵보살입상
575,논산 개태사지 석조여래삼존입상
576,영주 북지리 석조여래좌상(1963-1
577,영주 북지리 석조여래좌상(1963-2
578,영주 가흥동 마애여래삼존상 및 여래좌
579,합천 치인리 마애여래입상
580,철원 도피안사 삼층석탑
581,서천 성북리 오층석탑
582,여주 신륵사 다층석탑
583,여주 신륵사 다층전탑
584,창녕 인양사 조성비
585,여주 신륵사 보제존자석종
586,여주 신륵사 보제존자석종비
587,여주 신륵사 대장각기비
588,여주 신륵사 보제존자석종 앞 석등
589,논산 관촉사 석등
590,부여 무량사 석등
591,군산 발산리 석등
592,서울 장의사지 당간지주
593,익산 미륵사지 당간지주
594,백자 박산형뚜껑 향로
595,분청사기 상감모란문 매병
596,백자 청화투각모란당초문 항아리
597,안동 개목사 원통전
598,대구 동화사 마애여래좌상
599,대구 동화사 비로암 석조비로자나불좌상
600,김천 갈항사지 석조여래좌상
601,의성 고운사 석조여래좌상
602,대구 동화사 비로암 삼층석탑
603,대구 동화사 금당암 동·서 삼층석탑
604,영주 부석사 삼층석탑
605,부산 범어사 삼층석탑
606,칠곡 선봉사 대각국사비
607,포항 보경사 원진국사비
608,합천 청량사 석등
609,대구 동화사 당간지주
610,영주 부석사 당간지주
611,공주 갑사 철당간
612,공주 갑사 승탑
613,대구 산격동 사자 주악장식 승탑
614,남양주 수종사 사리탑 사리장엄구
615,유희춘 미암일기 및 미암집 목판
616,권벌 충재일기
617,근사록(1963)
618,순천 송광사 하사당
619,합천 해인사 석조여래입상
620,합천 청량사 석조여래좌상
621,합천 청량사 삼층석탑
